# GT/MT combo	# dups	# losses	Total score	Maps
GT-7317 to MT-0	6	17	23	((CSCUL-CSCUL-002c11_CSCUL[CSCUL+-0],((LRECL-LRECL-002073_LRECL[LRECL+-0],(PTEPI-PTEPI-003885_PTEPI[PTEPI+-0],SMIMO-407821-0064c8_SMIMO[SMIMO+-0])<1>[<2>+-0])<2>[<3>+-0],(CSCUL-CSCUL-0043c1_CSCUL[CSCUL+-0],(TURTI-32264-0039c0_TURTI[TURTI+-0],((SMIMO-407821-001f7e_SMIMO[SMIMO+-0],(CSCUL-CSCUL-00339b_CSCUL[CSCUL+-0],(PTEPI-PTEPI-001bf5_PTEPI[PTEPI+-0],LHESP-LHESP-002a1e_LHESP[LHESP+-0])<3>[<1>+-0])<4>[<4>+-0])<5>[<4>+-1],LRECL-LRECL-0012dc_LRECL[LRECL+-0])<6>[<4>+-1])<7>[<7>+-0])<8>[<7>+-1])<9>[<7>+-1])<10>[<7>+-1],(ISCAP-6945-00440f_ISCAP[ISCAP+-0],MOCCI-34638-00225e_MOCCI[MOCCI+-0])<11>[<5>+-0])<12>[<7>+-1]
GT-7318 to MT-0	6	17	23	(ISCAP-6945-002b44_ISCAP[ISCAP+-0],(MOCCI-34638-003231_MOCCI[MOCCI+-0],((TURTI-32264-0026fe_TURTI[TURTI+-0],TURTI-32264-003cac_TURTI[TURTI+-0])<1>[TURTI+-1],((PTEPI-PTEPI-005bbf_PTEPI[PTEPI+-0],(CSCUL-CSCUL-005691_CSCUL[CSCUL+-0],(LHESP-LHESP-001857_LHESP[LHESP+-0],LHESP-LHESP-004211_LHESP[LHESP+-0])<2>[LHESP+-1])<3>[<4>+-0])<4>[<4>+-1],SMIMO-407821-0066a6_SMIMO[SMIMO+-0])<5>[<4>+-1])<6>[<7>+-0])<7>[<7>+-1])<8>[<7>+-1]
GT-7319 to MT-0	2	8	10	(MOCCI-34638-00461a_MOCCI[MOCCI+-0],(TURTI-32264-002581_TURTI[TURTI+-0],((CSCUL-CSCUL-006cf7_CSCUL[CSCUL+-0],(LRECL-LRECL-000b62_LRECL[LRECL+-0],(PTEPI-PTEPI-001c22_PTEPI[PTEPI+-0],SMIMO-407821-005f43_SMIMO[SMIMO+-0])<1>[<2>+-0])<2>[<3>+-0])<3>[<4>+-0],ISCAP-6945-001feb_ISCAP[ISCAP+-0])<4>[<7>+-0])<5>[<7>+-1])<6>[<7>+-1]
GT-7320 to MT-0	4	10	14	((CSCUL-CSCUL-001c37_CSCUL[CSCUL+-0],CSCUL-CSCUL-00611b_CSCUL[CSCUL+-0])<1>[CSCUL+-1],(LRECL-LRECL-001318_LRECL[LRECL+-0],((CSCUL-CSCUL-003484_CSCUL[CSCUL+-0],PTEPI-PTEPI-00390d_PTEPI[PTEPI+-0])<2>[<4>+-0],SMIMO-407821-000e23_SMIMO[SMIMO+-0])<3>[<4>+-1])<4>[<4>+-1])<5>[<4>+-1]
GT-7321 to MT-0	2	5	7	((PTEPI-PTEPI-007430_PTEPI[PTEPI+-0],LHESP-LHESP-004059_LHESP[LHESP+-0])<1>[<1>+-0],((PTEPI-PTEPI-006aad_PTEPI[PTEPI+-0],LHESP-LHESP-004212_LHESP[LHESP+-0])<2>[<1>+-0],LHESP-LHESP-003284_LHESP[LHESP+-0])<3>[<1>+-1])<4>[<1>+-1]
GT-7322 to MT-0	4	13	17	(TURTI-32264-001210_TURTI[TURTI+-0],(ISCAP-6945-002fd5_ISCAP[ISCAP+-0],(CSCUL-CSCUL-0053a6_CSCUL[CSCUL+-0],(((LHESP-LHESP-003d7f_LHESP[LHESP+-0],SMIMO-407821-0021cf_SMIMO[SMIMO+-0])<1>[<2>+-0],(LRECL-LRECL-0014ed_LRECL[LRECL+-0],(PTEPI-PTEPI-003c8c_PTEPI[PTEPI+-0],LHESP-LHESP-0039a3_LHESP[LHESP+-0])<2>[<1>+-0])<3>[<3>+-0])<4>[<3>+-1],ISCAP-6945-002fd4_ISCAP[ISCAP+-0])<5>[<7>+-0])<6>[<7>+-1])<7>[<7>+-1])<8>[<7>+-1]
GT-7323 to MT-0	9	21	30	(CSCUL-CSCUL-00388b_CSCUL[CSCUL+-0],(((TURTI-32264-0014bc_TURTI[TURTI+-0],TURTI-32264-0025db_TURTI[TURTI+-0])<1>[TURTI+-1],((ISCAP-6945-00044c_ISCAP[ISCAP+-0],(LRECL-LRECL-0028cc_LRECL[LRECL+-0],(MOCCI-34638-00461b_MOCCI[MOCCI+-0],ISCAP-6945-00044b_ISCAP[ISCAP+-0])<2>[<5>+-0])<3>[<7>+-0])<4>[<7>+-1],(LHESP-LHESP-001bed_LHESP[LHESP+-0],(SMIMO-407821-0051b9_SMIMO[SMIMO+-0],PTEPI-PTEPI-006686_PTEPI[PTEPI+-0])<5>[<2>+-0])<6>[<2>+-1])<7>[<7>+-1])<8>[<7>+-1],(LRECL-LRECL-003e4f_LRECL[LRECL+-0],(LRECL-LRECL-00172b_LRECL[LRECL+-0],(LHESP-LHESP-001a9b_LHESP[LHESP+-0],(SMIMO-407821-0020c6_SMIMO[SMIMO+-0],(PTEPI-PTEPI-004de7_PTEPI[PTEPI+-0],LHESP-LHESP-001a9a_LHESP[LHESP+-0])<9>[<1>+-0])<10>[<2>+-0])<11>[<2>+-1])<12>[<3>+-0])<13>[<3>+-1])<14>[<7>+-1])<15>[<7>+-1]
GT-7324 to MT-0	2	6	8	(TURTI-32264-00185b_TURTI[TURTI+-0],(((PTEPI-PTEPI-000bf3_PTEPI[PTEPI+-0],LHESP-LHESP-000f0e_LHESP[LHESP+-0])<1>[<1>+-0],CSCUL-CSCUL-005704_CSCUL[CSCUL+-0])<2>[<4>+-0],((PTEPI-PTEPI-00146e_PTEPI[PTEPI+-0],(PTEPI-PTEPI-006fb4_PTEPI[PTEPI+-0],LHESP-LHESP-002600_LHESP[LHESP+-0])<3>[<1>+-0])<4>[<1>+-1],SMIMO-407821-002ef3_SMIMO[SMIMO+-0])<5>[<2>+-0])<6>[<4>+-1])<7>[<7>+-0]
GT-7325 to MT-0	2	10	12	(TURTI-32264-003728_TURTI[TURTI+-0],(ISCAP-6945-000558_ISCAP[ISCAP+-0],(MOCCI-34638-0036c8_MOCCI[MOCCI+-0],(SMIMO-407821-0009e9_SMIMO[SMIMO+-0],LHESP-LHESP-00108f_LHESP[LHESP+-0])<1>[<2>+-0])<2>[<7>+-0])<3>[<7>+-1])<4>[<7>+-1]
GT-7326 to MT-0	4	10	14	((PTEPI-PTEPI-003b25_PTEPI[PTEPI+-0],(LRECL-LRECL-00387b_LRECL[LRECL+-0],SMIMO-407821-001172_SMIMO[SMIMO+-0])<1>[<3>+-0])<2>[<3>+-1],((ISCAP-6945-003feb_ISCAP[ISCAP+-0],(TURTI-32264-004286_TURTI[TURTI+-0],(MOCCI-34638-00400f_MOCCI[MOCCI+-0],MOCCI-34638-002160_MOCCI[MOCCI+-0])<3>[MOCCI+-1])<4>[<6>+-0])<5>[<6>+-1],CSCUL-CSCUL-0035d5_CSCUL[CSCUL+-0])<6>[<7>+-0])<7>[<7>+-1]
GT-7327 to MT-0	9	20	29	((((SMIMO-407821-0033ca_SMIMO[SMIMO+-0],(LHESP-LHESP-001e47_LHESP[LHESP+-0],PTEPI-PTEPI-004525_PTEPI[PTEPI+-0])<1>[<1>+-0])<2>[<2>+-0],(CSCUL-CSCUL-0020ba_CSCUL[CSCUL+-0],(LRECL-LRECL-0041a2_LRECL[LRECL+-0],(MOCCI-34638-0046d4_MOCCI[MOCCI+-0],ISCAP-6945-000bf8_ISCAP[ISCAP+-0])<3>[<5>+-0])<4>[<7>+-0])<5>[<7>+-1])<6>[<7>+-1],TURTI-32264-00083d_TURTI[TURTI+-0])<7>[<7>+-1],(CSCUL-CSCUL-0020b9_CSCUL[CSCUL+-0],(ISCAP-6945-001f55_ISCAP[ISCAP+-0],((LRECL-LRECL-000734_LRECL[LRECL+-0],(CSCUL-CSCUL-0023e2_CSCUL[CSCUL+-0],CSCUL-CSCUL-006f55_CSCUL[CSCUL+-0])<8>[CSCUL+-1])<9>[<4>+-0],(((PTEPI-PTEPI-00304e_PTEPI[PTEPI+-0],PTEPI-PTEPI-007249_PTEPI[PTEPI+-0])<10>[PTEPI+-1],SMIMO-407821-0005f6_SMIMO[SMIMO+-0])<11>[<2>+-0],LHESP-LHESP-00365e_LHESP[LHESP+-0])<12>[<2>+-1])<13>[<4>+-1])<14>[<7>+-0])<15>[<7>+-1])<16>[<7>+-1]
GT-7328 to MT-0	3	10	13	(LRECL-LRECL-004ff3_LRECL[LRECL+-0],((SMIMO-407821-002e1a_SMIMO[SMIMO+-0],PTEPI-PTEPI-001d8a_PTEPI[PTEPI+-0])<1>[<2>+-0],((ISCAP-6945-004ca7_ISCAP[ISCAP+-0],(ISCAP-6945-0015f2_ISCAP[ISCAP+-0],MOCCI-34638-004615_MOCCI[MOCCI+-0])<2>[<5>+-0])<3>[<5>+-1],CSCUL-CSCUL-00177e_CSCUL[CSCUL+-0])<4>[<7>+-0])<5>[<7>+-1])<6>[<7>+-1]
GT-7329 to MT-0	6	4	10	((ISCAP-6945-003867_ISCAP[ISCAP+-0],MOCCI-34638-002cbd_MOCCI[MOCCI+-0])<1>[<5>+-0],((TURTI-32264-0046e9_TURTI[TURTI+-0],((TURTI-32264-001e1e_TURTI[TURTI+-0],TURTI-32264-001e1f_TURTI[TURTI+-0])<2>[TURTI+-1],TURTI-32264-001e1b_TURTI[TURTI+-0])<3>[TURTI+-1])<4>[TURTI+-1],((CSCUL-CSCUL-0051cb_CSCUL[CSCUL+-0],CSCUL-CSCUL-0031fd_CSCUL[CSCUL+-0])<5>[CSCUL+-1],(LRECL-LRECL-001d19_LRECL[LRECL+-0],(SMIMO-407821-00058d_SMIMO[SMIMO+-0],((LHESP-LHESP-001b03_LHESP[LHESP+-0],PTEPI-PTEPI-001192_PTEPI[PTEPI+-0])<6>[<1>+-0],SMIMO-407821-002c34_SMIMO[SMIMO+-0])<7>[<2>+-0])<8>[<2>+-1])<9>[<3>+-0])<10>[<4>+-0])<11>[<7>+-0])<12>[<7>+-1]
GT-7330 to MT-0	2	6	8	((((LRECL-LRECL-001fc3_LRECL[LRECL+-0],((LHESP-LHESP-003f65_LHESP[LHESP+-0],PTEPI-PTEPI-001802_PTEPI[PTEPI+-0])<1>[<1>+-0],SMIMO-407821-00621b_SMIMO[SMIMO+-0])<2>[<2>+-0])<3>[<3>+-0],TURTI-32264-0043bf_TURTI[TURTI+-0])<4>[<7>+-0],(MOCCI-34638-0043d7_MOCCI[MOCCI+-0],ISCAP-6945-004691_ISCAP[ISCAP+-0])<5>[<5>+-0])<6>[<7>+-1],CSCUL-CSCUL-00129d_CSCUL[CSCUL+-0])<7>[<7>+-1]
GT-7331 to MT-0	4	9	13	((((PTEPI-PTEPI-007453_PTEPI[PTEPI+-0],PTEPI-PTEPI-00506c_PTEPI[PTEPI+-0])<1>[PTEPI+-1],SMIMO-407821-00002a_SMIMO[SMIMO+-0])<2>[<2>+-0],(CSCUL-CSCUL-00406b_CSCUL[CSCUL+-0],ISCAP-6945-004e03_ISCAP[ISCAP+-0])<3>[<7>+-0])<4>[<7>+-1],(TURTI-32264-0004c8_TURTI[TURTI+-0],TURTI-32264-0019f0_TURTI[TURTI+-0])<5>[TURTI+-1])<6>[<7>+-1]
GT-7332 to MT-0	3	13	16	((((ISCAP-6945-002d95_ISCAP[ISCAP+-0],CSCUL-CSCUL-00581f_CSCUL[CSCUL+-0])<1>[<7>+-0],(TURTI-32264-00145c_TURTI[TURTI+-0],LRECL-LRECL-004d07_LRECL[LRECL+-0])<2>[<7>+-0])<3>[<7>+-1],(SMIMO-407821-004023_SMIMO[SMIMO+-0],PTEPI-PTEPI-0033b0_PTEPI[PTEPI+-0])<4>[<2>+-0])<5>[<7>+-1],MOCCI-34638-004899_MOCCI[MOCCI+-0])<6>[<7>+-1]
GT-7333 to MT-0	2	10	12	(ISCAP-6945-001667_ISCAP[ISCAP+-0],(SMIMO-407821-000c98_SMIMO[SMIMO+-0],(MOCCI-34638-000e4b_MOCCI[MOCCI+-0],CSCUL-CSCUL-005253_CSCUL[CSCUL+-0])<1>[<7>+-0])<2>[<7>+-1])<3>[<7>+-1]
GT-7334 to MT-0	3	11	14	((SMIMO-407821-00471e_SMIMO[SMIMO+-0],LHESP-LHESP-0018a3_LHESP[LHESP+-0])<1>[<2>+-0],(((ISCAP-6945-000bc6_ISCAP[ISCAP+-0],MOCCI-34638-004542_MOCCI[MOCCI+-0])<2>[<5>+-0],(TURTI-32264-001bee_TURTI[TURTI+-0],CSCUL-CSCUL-006989_CSCUL[CSCUL+-0])<3>[<7>+-0])<4>[<7>+-1],LRECL-LRECL-000fe5_LRECL[LRECL+-0])<5>[<7>+-1])<6>[<7>+-1]
GT-7335 to MT-0	3	11	14	((ISCAP-6945-003405_ISCAP[ISCAP+-0],((((LRECL-LRECL-002b1e_LRECL[LRECL+-0],PTEPI-PTEPI-003b97_PTEPI[PTEPI+-0])<1>[<3>+-0],LHESP-LHESP-001dbf_LHESP[LHESP+-0])<2>[<3>+-1],SMIMO-407821-006043_SMIMO[SMIMO+-0])<3>[<3>+-1],CSCUL-CSCUL-002d78_CSCUL[CSCUL+-0])<4>[<4>+-0])<5>[<7>+-0],(TURTI-32264-0025f9_TURTI[TURTI+-0],MOCCI-34638-0024a6_MOCCI[MOCCI+-0])<6>[<6>+-0])<7>[<7>+-1]
GT-7336 to MT-0	2	10	12	((LRECL-LRECL-002ab7_LRECL[LRECL+-0],((PTEPI-PTEPI-001949_PTEPI[PTEPI+-0],SMIMO-407821-00060a_SMIMO[SMIMO+-0])<1>[<2>+-0],TURTI-32264-0010dd_TURTI[TURTI+-0])<2>[<7>+-0])<3>[<7>+-1],(MOCCI-34638-0017dd_MOCCI[MOCCI+-0],CSCUL-CSCUL-006d69_CSCUL[CSCUL+-0])<4>[<7>+-0])<5>[<7>+-1]
GT-7337 to MT-0	1	8	9	(PTEPI-PTEPI-003bf0_PTEPI[PTEPI+-0],(MOCCI-34638-002c83_MOCCI[MOCCI+-0],CSCUL-CSCUL-0032a3_CSCUL[CSCUL+-0])<1>[<7>+-0])<2>[<7>+-1]
GT-7338 to MT-0	5	7	12	(((MOCCI-34638-003c99_MOCCI[MOCCI+-0],ISCAP-6945-003853_ISCAP[ISCAP+-0])<1>[<5>+-0],CSCUL-CSCUL-003ecc_CSCUL[CSCUL+-0])<2>[<7>+-0],(SMIMO-407821-0022dd_SMIMO[SMIMO+-0],((PTEPI-PTEPI-003f95_PTEPI[PTEPI+-0],LHESP-LHESP-000ed0_LHESP[LHESP+-0])<3>[<1>+-0],(((SMIMO-407821-004aaa_SMIMO[SMIMO+-0],SMIMO-407821-00438c_SMIMO[SMIMO+-0])<4>[SMIMO+-1],SMIMO-407821-00239a_SMIMO[SMIMO+-0])<5>[SMIMO+-1],(PTEPI-PTEPI-003f93_PTEPI[PTEPI+-0],LHESP-LHESP-000ecf_LHESP[LHESP+-0])<6>[<1>+-0])<7>[<2>+-0])<8>[<2>+-1])<9>[<2>+-1])<10>[<7>+-1]
GT-7339 to MT-0	1	10	11	((SMIMO-407821-001ce1_SMIMO[SMIMO+-0],PTEPI-PTEPI-003eb8_PTEPI[PTEPI+-0])<1>[<2>+-0],(ISCAP-6945-002391_ISCAP[ISCAP+-0],PTEPI-PTEPI-003eb9_PTEPI[PTEPI+-0])<2>[<7>+-0])<3>[<7>+-1]
GT-7340 to MT-0	5	4	9	((LRECL-LRECL-002768_LRECL[LRECL+-0],(CSCUL-CSCUL-003bc2_CSCUL[CSCUL+-0],CSCUL-CSCUL-000e6a_CSCUL[CSCUL+-0])<1>[CSCUL+-1])<2>[<4>+-0],(LRECL-LRECL-001108_LRECL[LRECL+-0],((LRECL-LRECL-00276b_LRECL[LRECL+-0],LRECL-LRECL-00253e_LRECL[LRECL+-0])<3>[LRECL+-1],LRECL-LRECL-000c7d_LRECL[LRECL+-0])<4>[LRECL+-1])<5>[LRECL+-1])<6>[<4>+-1]
GT-7341 to MT-0	4	11	15	((MOCCI-34638-000574_MOCCI[MOCCI+-0],MOCCI-34638-0002cc_MOCCI[MOCCI+-0])<1>[MOCCI+-1],(((SMIMO-407821-0037ab_SMIMO[SMIMO+-0],(LHESP-LHESP-0016af_LHESP[LHESP+-0],PTEPI-PTEPI-001281_PTEPI[PTEPI+-0])<2>[<1>+-0])<3>[<2>+-0],(ISCAP-6945-000ec0_ISCAP[ISCAP+-0],CSCUL-CSCUL-0028a4_CSCUL[CSCUL+-0])<4>[<7>+-0])<5>[<7>+-1],TURTI-32264-0023ed_TURTI[TURTI+-0])<6>[<7>+-1])<7>[<7>+-1]
GT-7342 to MT-0	3	11	14	(MOCCI-34638-004597_MOCCI[MOCCI+-0],((CSCUL-CSCUL-00015a_CSCUL[CSCUL+-0],((SMIMO-407821-003859_SMIMO[SMIMO+-0],LRECL-LRECL-00200b_LRECL[LRECL+-0])<1>[<3>+-0],(PTEPI-PTEPI-006b91_PTEPI[PTEPI+-0],LHESP-LHESP-001a1d_LHESP[LHESP+-0])<2>[<1>+-0])<3>[<3>+-1])<4>[<4>+-0],((CSCUL-CSCUL-00015c_CSCUL[CSCUL+-0],(PTEPI-PTEPI-0056fc_PTEPI[PTEPI+-0],SMIMO-407821-0011ad_SMIMO[SMIMO+-0])<5>[<2>+-0])<6>[<4>+-0],ISCAP-6945-00346d_ISCAP[ISCAP+-0])<7>[<7>+-0])<8>[<7>+-1])<9>[<7>+-1]
GT-7343 to MT-0	1	5	6	(LRECL-LRECL-0006f6_LRECL[LRECL+-0],(CSCUL-CSCUL-0054f7_CSCUL[CSCUL+-0],(SMIMO-407821-004a4b_SMIMO[SMIMO+-0],PTEPI-PTEPI-001e92_PTEPI[PTEPI+-0])<1>[<2>+-0])<2>[<4>+-0])<3>[<4>+-1]
GT-7344 to MT-0	1	4	5	(PTEPI-PTEPI-0043b2_PTEPI[PTEPI+-0],((MOCCI-34638-00139f_MOCCI[MOCCI+-0],ISCAP-6945-0031f4_ISCAP[ISCAP+-0])<1>[<5>+-0],(TURTI-32264-000e4c_TURTI[TURTI+-0],TURTI-32264-000e4a_TURTI[TURTI+-0])<2>[TURTI+-1])<3>[<6>+-0])<4>[<7>+-0]
GT-7345 to MT-0	2	7	9	((MOCCI-34638-0038f4_MOCCI[MOCCI+-0],ISCAP-6945-0015ed_ISCAP[ISCAP+-0])<1>[<5>+-0],(TURTI-32264-001fdd_TURTI[TURTI+-0],((CSCUL-CSCUL-004d61_CSCUL[CSCUL+-0],LRECL-LRECL-004fbd_LRECL[LRECL+-0])<2>[<4>+-0],(SMIMO-407821-003740_SMIMO[SMIMO+-0],PTEPI-PTEPI-000fa5_PTEPI[PTEPI+-0])<3>[<2>+-0])<4>[<4>+-1])<5>[<7>+-0])<6>[<7>+-1]
GT-7346 to MT-0	0	3	3	(ISCAP-6945-0037a6_ISCAP[ISCAP+-0],((SMIMO-407821-003521_SMIMO[SMIMO+-0],(PTEPI-PTEPI-0010b2_PTEPI[PTEPI+-0],LHESP-LHESP-001da7_LHESP[LHESP+-0])<1>[<1>+-0])<2>[<2>+-0],CSCUL-CSCUL-004bd2_CSCUL[CSCUL+-0])<3>[<4>+-0])<4>[<7>+-0]
GT-7347 to MT-0	3	9	12	((LHESP-LHESP-00196d_LHESP[LHESP+-0],SMIMO-407821-006004_SMIMO[SMIMO+-0])<1>[<2>+-0],((CSCUL-CSCUL-004c46_CSCUL[CSCUL+-0],ISCAP-6945-003844_ISCAP[ISCAP+-0])<2>[<7>+-0],(CSCUL-CSCUL-0069b4_CSCUL[CSCUL+-0],CSCUL-CSCUL-006e83_CSCUL[CSCUL+-0])<3>[CSCUL+-1])<4>[<7>+-1])<5>[<7>+-1]
GT-7349 to MT-0	9	25	34	(((ISCAP-6945-0013e5_ISCAP[ISCAP+-0],(MOCCI-34638-002f61_MOCCI[MOCCI+-0],(PTEPI-PTEPI-0018fc_PTEPI[PTEPI+-0],(((SMIMO-407821-006037_SMIMO[SMIMO+-0],PTEPI-PTEPI-003c9b_PTEPI[PTEPI+-0])<1>[<2>+-0],CSCUL-CSCUL-00485f_CSCUL[CSCUL+-0])<2>[<4>+-0],((LRECL-LRECL-00374a_LRECL[LRECL+-0],(PTEPI-PTEPI-0043e9_PTEPI[PTEPI+-0],SMIMO-407821-00123d_SMIMO[SMIMO+-0])<3>[<2>+-0])<4>[<3>+-0],(ISCAP-6945-0014e3_ISCAP[ISCAP+-0],CSCUL-CSCUL-003346_CSCUL[CSCUL+-0])<5>[<7>+-0])<6>[<7>+-1])<7>[<7>+-1])<8>[<7>+-1])<9>[<7>+-1])<10>[<7>+-1],(TURTI-32264-0032d4_TURTI[TURTI+-0],TURTI-32264-001fa7_TURTI[TURTI+-0])<11>[TURTI+-1])<12>[<7>+-1],(CSCUL-CSCUL-0058c5_CSCUL[CSCUL+-0],((LRECL-LRECL-0016f1_LRECL[LRECL+-0],(SMIMO-407821-0045d1_SMIMO[SMIMO+-0],LHESP-LHESP-000389_LHESP[LHESP+-0])<13>[<2>+-0])<14>[<3>+-0],CSCUL-CSCUL-0058c4_CSCUL[CSCUL+-0])<15>[<4>+-0])<16>[<4>+-1])<17>[<7>+-1]
GT-7350 to MT-0	4	16	20	((MOCCI-34638-00169d_MOCCI[MOCCI+-0],PTEPI-PTEPI-00227d_PTEPI[PTEPI+-0])<1>[<7>+-0],(MOCCI-34638-0001f8_MOCCI[MOCCI+-0],(CSCUL-CSCUL-007030_CSCUL[CSCUL+-0],((LRECL-LRECL-003951_LRECL[LRECL+-0],PTEPI-PTEPI-003369_PTEPI[PTEPI+-0])<2>[<3>+-0],(MOCCI-34638-00140d_MOCCI[MOCCI+-0],MOCCI-34638-0011d4_MOCCI[MOCCI+-0])<3>[MOCCI+-1])<4>[<7>+-0])<5>[<7>+-1])<6>[<7>+-1])<7>[<7>+-1]
GT-7351 to MT-0	12	15	27	(CSCUL-CSCUL-00596c_CSCUL[CSCUL+-0],(((SMIMO-407821-004835_SMIMO[SMIMO+-0],(PTEPI-PTEPI-0029b5_PTEPI[PTEPI+-0],LHESP-LHESP-0024cb_LHESP[LHESP+-0])<1>[<1>+-0])<2>[<2>+-0],(((LRECL-LRECL-00294b_LRECL[LRECL+-0],PTEPI-PTEPI-002781_PTEPI[PTEPI+-0])<3>[<3>+-0],((SMIMO-407821-000fe5_SMIMO[SMIMO+-0],SMIMO-407821-004e70_SMIMO[SMIMO+-0])<4>[SMIMO+-1],(PTEPI-PTEPI-002780_PTEPI[PTEPI+-0],PTEPI-PTEPI-00277f_PTEPI[PTEPI+-0])<5>[PTEPI+-1])<6>[<2>+-0])<7>[<3>+-1],(ISCAP-6945-003769_ISCAP[ISCAP+-0],((ISCAP-6945-0013ca_ISCAP[ISCAP+-0],ISCAP-6945-0013cc_ISCAP[ISCAP+-0])<8>[ISCAP+-1],((ISCAP-6945-0013c9_ISCAP[ISCAP+-0],ISCAP-6945-0013cb_ISCAP[ISCAP+-0])<9>[ISCAP+-1],ISCAP-6945-001917_ISCAP[ISCAP+-0])<10>[ISCAP+-1])<11>[ISCAP+-1])<12>[ISCAP+-1])<13>[<7>+-0])<14>[<7>+-1],(LRECL-LRECL-0034d9_LRECL[LRECL+-0],LRECL-LRECL-00294c_LRECL[LRECL+-0])<15>[LRECL+-1])<16>[<7>+-1])<17>[<7>+-1]
GT-7352 to MT-0	15	32	47	(MOCCI-34638-003e92_MOCCI[MOCCI+-0],(((PTEPI-PTEPI-006008_PTEPI[PTEPI+-0],(SMIMO-407821-00427d_SMIMO[SMIMO+-0],LHESP-LHESP-002396_LHESP[LHESP+-0])<1>[<2>+-0])<2>[<2>+-1],LRECL-LRECL-000121_LRECL[LRECL+-0])<3>[<3>+-0],(CSCUL-CSCUL-005c7e_CSCUL[CSCUL+-0],(((LRECL-LRECL-0031ab_LRECL[LRECL+-0],SMIMO-407821-002ef1_SMIMO[SMIMO+-0])<4>[<3>+-0],(PTEPI-PTEPI-0024c4_PTEPI[PTEPI+-0],((PTEPI-PTEPI-0024c3_PTEPI[PTEPI+-0],LHESP-LHESP-003bfc_LHESP[LHESP+-0])<5>[<1>+-0],LHESP-LHESP-002c52_LHESP[LHESP+-0])<6>[<1>+-1])<7>[<1>+-1])<8>[<3>+-1],((PTEPI-PTEPI-0024c2_PTEPI[PTEPI+-0],((LRECL-LRECL-00066c_LRECL[LRECL+-0],LRECL-LRECL-000ecd_LRECL[LRECL+-0])<9>[LRECL+-1],SMIMO-407821-005d6e_SMIMO[SMIMO+-0])<10>[<3>+-0])<11>[<3>+-1],(CSCUL-CSCUL-001f66_CSCUL[CSCUL+-0],((ISCAP-6945-003015_ISCAP[ISCAP+-0],(TURTI-32264-003957_TURTI[TURTI+-0],TURTI-32264-00200b_TURTI[TURTI+-0])<12>[TURTI+-1])<13>[<6>+-0],((LRECL-LRECL-004e6d_LRECL[LRECL+-0],(LRECL-LRECL-000123_LRECL[LRECL+-0],SMIMO-407821-005b92_SMIMO[SMIMO+-0])<14>[<3>+-0])<15>[<3>+-1],MOCCI-34638-003e93_MOCCI[MOCCI+-0])<16>[<7>+-0])<17>[<7>+-1])<18>[<7>+-1])<19>[<7>+-1])<20>[<7>+-1])<21>[<7>+-1])<22>[<7>+-1])<23>[<7>+-1]
GT-7353 to MT-0	11	23	34	((MOCCI-34638-002833_MOCCI[MOCCI+-0],(CSCUL-CSCUL-000231_CSCUL[CSCUL+-0],LHESP-LHESP-002c99_LHESP[LHESP+-0])<1>[<4>+-0])<2>[<7>+-0],(((PTEPI-PTEPI-005e8b_PTEPI[PTEPI+-0],((LRECL-LRECL-003acc_LRECL[LRECL+-0],((CSCUL-CSCUL-000230_CSCUL[CSCUL+-0],(SMIMO-407821-00596e_SMIMO[SMIMO+-0],((LHESP-LHESP-0010a8_LHESP[LHESP+-0],LHESP-LHESP-000f44_LHESP[LHESP+-0])<3>[LHESP+-1],(LHESP-LHESP-0010a9_LHESP[LHESP+-0],PTEPI-PTEPI-005e8a_PTEPI[PTEPI+-0])<4>[<1>+-0])<5>[<1>+-1])<6>[<2>+-0])<7>[<4>+-0],LRECL-LRECL-002729_LRECL[LRECL+-0])<8>[<4>+-1])<9>[<4>+-1],LHESP-LHESP-002bae_LHESP[LHESP+-0])<10>[<4>+-1])<11>[<4>+-1],SMIMO-407821-00596b_SMIMO[SMIMO+-0])<12>[<4>+-1],(TURTI-32264-002814_TURTI[TURTI+-0],(TURTI-32264-002c55_TURTI[TURTI+-0],(TURTI-32264-00280d_TURTI[TURTI+-0],TURTI-32264-002c5a_TURTI[TURTI+-0])<13>[TURTI+-1])<14>[TURTI+-1])<15>[TURTI+-1])<16>[<7>+-0])<17>[<7>+-1]
GT-7354 to MT-0	3	11	14	((TURTI-32264-00166e_TURTI[TURTI+-0],MOCCI-34638-003557_MOCCI[MOCCI+-0])<1>[<6>+-0],(ISCAP-6945-000400_ISCAP[ISCAP+-0],(SMIMO-407821-00094e_SMIMO[SMIMO+-0],((LHESP-LHESP-001f5d_LHESP[LHESP+-0],PTEPI-PTEPI-00041f_PTEPI[PTEPI+-0])<2>[<1>+-0],(CSCUL-CSCUL-00206b_CSCUL[CSCUL+-0],LRECL-LRECL-00392d_LRECL[LRECL+-0])<3>[<4>+-0])<4>[<4>+-1])<5>[<4>+-1])<6>[<7>+-0])<7>[<7>+-1]
